Name,TeamID,Positions,AvgRank,PosRank
Tank Bigsby,JAC,RB,142.61,RB43
Luther Burden III,CHI,WR,143.56,WR55
Colston Loveland,CHI,TE,144.01,TE16
Hunter Henry,NE,TE,145.63,TE17
J.K. Dobbins,DEN,RB,134.42,RB44
Cedric Tillman,CLE,WR,146.96,WR56
Ray Davis,BUF,RB,147.03,RB45
Michael Penix Jr.,ATL,QB,147.74,QB24
Rashod Bateman,BAL,WR,148.09,WR57
Trey Benson,ARI,RB,148.70,RB46
Marquise Brown,KC,WR,151.24,WR58
Rico Dowdle,CAR,RB,154.20,RB47
Marvin Mims Jr.,DEN,WR,155.04,WR59
Tyler Allgeier,ATL,RB,155.16,RB48
Isaac Guerendo,SF,RB,155.46,RB49
Geno Smith,LV,QB,155.89,QB25
Adam Thielen,CAR,WR,154.29,WR60
Tre Harris,LAC,WR,157.87,WR61
Romeo Doubs,GB,WR,159.27,WR62
Jerome Ford,CLE,RB,159.89,RB50
Jayden Higgins,HOU,WR,160.70,WR63
Jaylen Wright,MIA,RB,161.80,RB51
Zach Ertz,WAS,TE,162.57,TE18
Braelon Allen,NYJ,RB,165.57,RB52
Bhayshul Tuten,JAC,RB,165.59,RB53
Denver Broncos,DEN,DST,152.71,DST1
Wan'Dale Robinson,NYG,WR,167.89,WR64
Jalen McMillan,TB,WR,168.01,WR65
Quentin Johnston,LAC,WR,169.57,WR66
Kyle Pitts,ATL,TE,169.77,TE19
Kyle Williams,NE,WR,170.51,WR67
Sam Darnold,SEA,QB,172.86,QB26
Roschon Johnson,CHI,RB,173.21,RB54
Jaydon Blue,DAL,RB,177.53,RB55
Xavier Legette,CAR,WR,178.63,WR68
Philadelphia Eagles,PHI,DST,162.23,DST2
DeMario Douglas,NE,WR,179.61,WR69
Baltimore Ravens,BAL,DST,169.15,DST3
Mike Gesicki,CIN,TE,184.60,TE20
DeAndre Hopkins,BAL,WR,185.19,WR70
Pittsburgh Steelers,PIT,DST,170.11,DST4
Cameron Ward,TEN,QB,186.41,QB27
Pat Freiermuth,PIT,TE,187.47,TE21
MarShawn Lloyd,GB,RB,188.50,RB56
Joshua Palmer,BUF,WR,187.54,WR71
Isaiah Likely,BAL,TE,190.54,TE22
Minnesota Vikings,MIN,DST,174.74,DST5
Brenton Strange,JAC,TE,182.43,TE23
Blake Corum,LAR,RB,194.04,RB57
Jalen Coker,CAR,WR,191.30,WR72
Dylan Sampson,CLE,RB,192.19,RB58
Nick Chubb,HOU,RB,196.46,RB59
Houston Texans,HOU,DST,184.51,DST6
Jack Bech,LV,WR,195.12,WR73
Kansas City Chiefs,KC,DST,185.89,DST7
Aaron Rodgers,PIT,QB,198.81,QB28
Brandon Aubrey,DAL,K,186.92,K1
Buffalo Bills,BUF,DST,186.97,DST8
Jake Bates,DET,K,192.15,K2
Detroit Lions,DET,DST,187.86,DST9
Cade Otton,TB,TE,208.10,TE24
Los Angeles Rams,LAR,DST,200.30,DST10
Cameron Dicker,LAC,K,194.74,K3
Wil Lutz,DEN,K,201.07,K4
Los Angeles Chargers,LAC,DST,196.14,DST11
Alec Pierce,IND,WR,205.43,WR74
Michael Wilson,ARI,WR,203.00,WR75
Chris Boswell,PIT,K,202.80,K5
Justice Hill,BAL,RB,208.56,RB60
Chig Okonkwo,TEN,TE,211.59,TE25
Kareem Hunt,KC,RB,211.67,RB61
Chase McLaughlin,TB,K,206.18,K6
Seattle Seahawks,SEA,DST,202.22,DST12
Ka'imi Fairbairn,HOU,K,208.06,K7
Green Bay Packers,GB,DST,206.69,DST13
Adonai Mitchell,IND,WR,217.85,WR76
Evan McPherson,CIN,K,209.66,K8
Harrison Butker,KC,K,214.12,K9
Jaylin Noel,HOU,WR,220.24,WR77
Mason Taylor,NYJ,TE,225.92,TE26
Dontayvion Wicks,GB,WR,216.80,WR78
Tyler Bass,BUF,K,216.85,K10
New York Jets,NYJ,DST,207.35,DST14
Darius Slayton,NYG,WR,227.21,WR79
Andrei Iosivas,CIN,WR,222.65,WR80
Dalton Schultz,HOU,TE,229.22,TE27
Jaleel McLaughlin,DEN,RB,218.70,RB62
Jake Elliott,PHI,K,218.94,K11
Devaughn Vele,DEN,WR,228.94,WR81
DJ Giddens,IND,RB,239.49,RB63
Anthony Richardson Sr.,IND,QB,237.88,QB29
Kendre Miller,NO,RB,235.65,RB64
Keenan Allen,FA,WR,204.91,WR82
Calvin Austin III,PIT,WR,233.68,WR83
Elic Ayomanor,TEN,WR,228.61,WR84
San Francisco 49ers,SF,DST,226.68,DST15
Jason Sanders,MIA,K,233.14,K12
Devin Neal,NO,RB,238.83,RB65
Russell Wilson,NYG,QB,248.79,QB30
Tyler Lockett,TEN,WR,234.08,WR85
Younghoe Koo,ATL,K,232.94,K13
Ja'Tavion Sanders,CAR,TE,246.67,TE28
Elijah Arroyo,SEA,TE,253.91,TE29
Juwan Johnson,NO,TE,249.88,TE30
Miles Sanders,DAL,RB,245.53,RB66
Pat Bryant,DEN,WR,241.69,WR86
Kyle Monangai,CHI,RB,249.04,RB67
Cole Kmet,CHI,TE,247.23,TE31
Diontae Johnson,CLE,WR,237.74,WR87
Will Shipley,PHI,RB,247.67,RB68
Elijah Moore,BUF,WR,246.69,WR88
Jalen Tolbert,DAL,WR,241.03,WR89
Brandin Cooks,NO,WR,241.29,WR90
Audric Estime,DEN,RB,248.00,RB69
Keaton Mitchell,BAL,RB,257.79,RB70
Daniel Jones,IND,QB,253.74,QB31
Raheem Mostert,LV,RB,251.65,RB71
Dallas Cowboys,DAL,DST,237.63,DST16
Dyami Brown,JAC,WR,246.74,WR91
Elijah Mitchell,KC,RB,254.55,RB72
Joshua Karty,LAR,K,251.17,K14
Tampa Bay Buccaneers,TB,DST,250.21,DST17
Jalen Royals,KC,WR,256.34,WR92
Kayshon Boutte,NE,WR,250.82,WR93
Roman Wilson,PIT,WR,253.50,WR94
Antonio Gibson,NE,RB,254.13,RB73
Nick Westbrook-Ikhine,MIA,WR,257.70,WR95
Trevor Etienne,CAR,RB,267.06,RB74
Brashard Smith,KC,RB,253.52,RB75
Matt Gay,WAS,K,248.78,K15
Jarquez Hunter,LAR,RB,254.60,RB76
Malik Washington,MIA,WR,261.43,WR96
Devin Singletary,NYG,RB,263.05,RB77
Amari Cooper,FA,WR,232.73,WR97
Cleveland Browns,CLE,DST,241.96,DST18
Ollie Gordon II,MIA,RB,265.07,RB78
Kenneth Gainwell,PIT,RB,269.79,RB79
Noah Gray,KC,TE,274.97,TE32
Tahj Brooks,CIN,RB,275.88,RB80
Harold Fannin Jr.,CLE,TE,277.48,TE33
Tyler Shough,NO,QB,279.22,QB32
Tim Patrick,DET,WR,275.37,WR98
Zack Moss,CIN,RB,282.37,RB81
Ty Johnson,BUF,RB,283.15,RB82
Tre Tucker,LV,WR,275.74,WR99
Joe Flacco,CLE,QB,289.66,QB33
Parker Washington,JAC,WR,283.43,WR100
Xavier Restrepo,TEN,WR,270.80,WR101
Khalil Herbert,IND,RB,285.84,RB83
Sean Tucker,TB,RB,291.11,RB84
Woody Marks,HOU,RB,280.60,RB85
Taysom Hill,NO,TE,284.72,TE34
Noah Fant,FA,TE,284.95,TE35
Isaiah Davis,NYJ,RB,288.95,RB86
Jordan James,SF,RB,283.86,RB87
Chicago Bears,CHI,DST,278.24,DST19
Jalen Nailor,MIN,WR,284.32,WR102
Alexander Mattison,MIA,RB,294.02,RB88
Daniel Carlson,LV,K,259.71,K16
Darren Waller,MIA,TE,234.55,TE36
Jaxson Dart,NYG,QB,298.13,QB34
Luke McCaffrey,WAS,WR,288.50,WR103
Dameon Pierce,HOU,RB,294.82,RB89
Theo Johnson,NYG,TE,270.16,TE37
Kimani Vidal,LAC,RB,289.77,RB90
Tory Horton,SEA,WR,291.08,WR104
Sincere McCormick,LV,RB,289.13,RB91
Terrance Ferguson,LAR,TE,273.86,TE38
Damien Martinez,SEA,RB,300.54,RB92
Gabe Davis,FA,WR,282.00,WR105
Christian Watson,GB,WR,290.57,WR106
Isaac TeSlaa,DET,WR,288.63,WR107
Jermaine Burton,CIN,WR,296.64,WR108
Tez Johnson,TB,WR,294.84,WR109
Phil Mafah,DAL,RB,305.18,RB93
Shedeur Sanders,CLE,QB,310.77,QB35
Oronde Gadsden II,LAC,TE,289.59,TE39
Jason Myers,SEA,K,284.62,K17
Ty Chandler,MIN,RB,311.45,RB94
New England Patriots,NE,DST,260.63,DST20
Dont'e Thornton Jr.,LV,WR,265.56,WR110
Chris Brooks,GB,RB,313.66,RB95
Emanuel Wilson,GB,RB,315.41,RB96
Ben Sinnott,WAS,TE,296.73,TE40
Tyler Higbee,LAR,TE,284.91,TE41
Will Dissly,LAC,TE,301.60,TE42
Will Reichard,MIN,K,277.84,K18
Tyler Loop,BAL,K,241.17,K19
Miami Dolphins,MIA,DST,280.77,DST21
Jacory Croskey-Merritt,WAS,RB,281.39,RB97
Raheim Sanders,LAC,RB,316.11,RB98
Chris Rodriguez Jr.,WAS,RB,318.27,RB99
Tyler Conklin,LAC,TE,289.64,TE43
Tutu Atwell,LAR,WR,275.76,WR111
Tai Felton,MIN,WR,291.84,WR112
Jordan Whittington,LAR,WR,298.79,WR113
Arizona Cardinals,ARI,DST,268.16,DST22
Zamir White,LV,RB,318.23,RB100
Ray-Ray McCloud III,ATL,WR,281.89,WR114
Gus Edwards,FA,RB,308.33,RB101
John Metchie III,HOU,WR,306.28,WR115
Jalen Milroe,SEA,QB,322.37,QB36
Justin Tucker,FA,K,235.87,K20
Cam Akers,NO,RB,300.29,RB102
Demarcus Robinson,SF,WR,317.55,WR116
Marquez Valdes-Scantling,SEA,WR,309.85,WR117
Troy Franklin,DEN,WR,314.52,WR118
Samaje Perine,CIN,RB,306.58,RB103
Savion Williams,GB,WR,305.39,WR119
Noah Brown,WAS,WR,291.80,WR120
Jake Moody,SF,K,267.44,K21
Kirk Cousins,ATL,QB,332.03,QB37
New York Giants,NYG,DST,241.77,DST23
Josh Reynolds,NYJ,WR,288.00,WR121
Dawson Knox,BUF,TE,332.70,TE44
Michael Mayer,LV,TE,327.52,TE45
Brandon McManus,GB,K,264.29,K22
Chimere Dike,TEN,WR,318.74,WR122
A.J. Dillon,PHI,RB,317.86,RB104
KaVontae Turpin,DAL,WR,318.62,WR123
Luke Musgrave,GB,TE,331.76,TE46
Tank Dell,HOU,WR,307.11,WR124
Mack Hollins,NE,WR,316.50,WR125
Jameis Winston,NYG,QB,336.40,QB38
Curtis Samuel,BUF,WR,328.68,WR126
Donovan Edwards,NYJ,RB,326.95,RB105
Allen Lazard,NYJ,WR,312.65,WR127
Washington Commanders,WAS,DST,266.82,DST24
Isaiah Bond,FA,WR,278.58,WR128
Spencer Rattler,NO,QB,338.67,QB39
Eddy Pineiro,FA,K,246.33,K23
Kenny Pickett,CLE,QB,332.05,QB40
Atlanta Falcons,ATL,DST,267.00,DST25
Cam Little,JAC,K,311.27,K24
Greg Dortch,ARI,WR,302.46,WR129
Austin Hooper,NE,TE,332.17,TE47
Gunnar Helm,TEN,TE,338.32,TE48
LeQuint Allen Jr.,JAC,RB,325.73,RB106
Trey Sermon,PIT,RB,334.65,RB107
Matt Prater,FA,K,269.38,K25
Jaylin Lane,WAS,WR,334.53,WR130
Jahan Dotson,PHI,WR,332.21,WR131
AJ Barner,SEA,TE,338.53,TE49
Dillon Gabriel,CLE,QB,342.56,QB41
Luke Schoonmaker,DAL,TE,349.35,TE50
Robert Woods,PIT,WR,324.18,WR132
Foster Moreau,NO,TE,341.57,TE51
Blake Grupe,NO,K,249.60,K26
Tommy Tremble,CAR,TE,351.63,TE52
Van Jefferson,TEN,WR,343.31,WR133
Ameer Abdullah,FA,RB,319.22,RB108
Antwane Wells Jr.,NYG,WR,334.18,WR134
Mason Rudolph,PIT,QB,351.29,QB42
Cairo Santos,CHI,K,274.00,K27
Emari Demercado,ARI,RB,346.92,RB109
Kalel Mullings,TEN,RB,350.85,RB110
Indianapolis Colts,IND,DST,276.00,DST26
Cincinnati Bengals,CIN,DST,249.75,DST27
Theo Wease Jr.,MIA,WR,339.70,WR135
Olamide Zaccheaus,CHI,WR,342.20,WR136
Jonathon Brooks,CAR,RB,305.50,RB111
Graham Gano,NYG,K,262.75,K28
Jalin Hyatt,NYG,WR,349.55,WR137
Chad Ryland,ARI,K,268.00,K29
Ja'Lynn Polk,NE,WR,340.67,WR138
Jacob Cowing,SF,WR,358.85,WR139
Arian Smith,NYJ,WR,326.29,WR140
Cade Stover,HOU,TE,356.42,TE53
Hunter Luepke,DAL,RB,273.50,RB112
Joe Milton III,DAL,QB,351.30,QB43
Kendrick Bourne,NE,WR,357.64,WR141
Josh Oliver,MIN,TE,361.25,TE54
New Orleans Saints,NO,DST,251.33,DST28
Ja'Quinden Jackson,JAC,RB,337.57,RB113
Javon Baker,NE,WR,315.00,WR142
Craig Reynolds,DET,RB,349.50,RB114
Cordarrelle Patterson,PIT,RB,321.60,RB115
Nick Folk,FA,K,210.50,K30
Jeremy Ruckert,NYJ,TE,367.83,TE55
Hunter Renfrow,CAR,WR,307.75,WR143
Will Howard,PIT,QB,337.83,QB44
Malachi Corley,NYJ,WR,358.00,WR144
Aidan O'Connell,LV,QB,328.00,QB45
Las Vegas Raiders,LV,DST,282.33,DST29
Grant Calcaterra,PHI,TE,359.56,TE56
Kyle Juszczyk,SF,RB,334.80,RB116
KeAndre Lambert-Smith,LAC,WR,353.57,WR145
Zach Wilson,MIA,QB,336.00,QB46
Jonathan Mingo,DAL,WR,354.29,WR146
JuJu Smith-Schuster,KC,WR,369.00,WR147
D'Ernest Johnson,FA,RB,341.00,RB117
Zay Jones,ARI,WR,370.50,WR148
Josh Whyle,TEN,TE,334.00,TE57
Alec Ingold,MIA,RB,334.25,RB118
Kenny McIntosh,SEA,RB,349.00,RB119
Jeremy McNichols,WAS,RB,357.17,RB120
Kalif Raymond,DET,WR,340.00,WR149
Clyde Edwards-Helaire,NO,RB,352.20,RB121
Darnell Washington,PIT,TE,366.71,TE58
Jake Bobo,SEA,WR,356.60,WR150
Mitchell Evans,CAR,TE,363.67,TE59
Stone Smartt,NYJ,TE,368.57,TE60
Tyler Badie,DEN,RB,357.20,RB122
Chris Tyree,NO,RB,349.75,RB123
Tyler Goodson,IND,RB,360.40,RB124
Marcus Yarns,NO,RB,360.40,RB125
Bub Means,NO,WR,304.50,WR151
Efton Chism III,NE,WR,338.00,WR152
Jordan Watkins,SF,WR,338.00,WR153
Julian Hill,MIA,TE,338.00,TE61
Greg Dulcich,NYG,TE,363.00,TE62
Jacksonville Jaguars,JAC,DST,316.00,DST30
Treylon Burks,TEN,WR,344.67,WR154
Marcus Mariota,WAS,QB,344.67,QB47
Elijah Higgins,ARI,TE,378.00,TE63
Sam Howell,MIN,QB,346.00,QB48
C.J. Ham,MIN,RB,320.50,RB126
Julius Chestnut,TEN,RB,359.50,RB127
Malik Willis,GB,QB,347.67,QB49
Deuce Vaughn,DAL,RB,324.50,RB128
Daniel Bellinger,NYG,TE,352.33,TE64
Michael Gallup,WAS,WR,330.00,WR155
Brevin Jordan,HOU,TE,365.50,TE65
Ezekiel Elliott,FA,RB,335.00,RB129
Michael Carter,ARI,RB,368.25,RB130
Michael Burton,DEN,RB,342.00,RB131
Rondale Moore,MIN,WR,344.00,WR156
KhaDarel Hodge,ATL,WR,362.00,WR157
Mecole Hardman Jr.,GB,WR,344.50,WR158
Kylen Granson,PHI,TE,362.33,TE66
Pierre Strong Jr.,CLE,RB,345.50,RB132
Mac Jones,SF,QB,377.40,QB50
Devontez Walker,BAL,WR,377.60,WR159
Taylor Heinicke,LAC,QB,365.67,QB51
Carson Steele,KC,RB,350.00,RB133
Jimmy Horn Jr.,CAR,WR,350.50,WR160
Colby Parkinson,LAR,TE,352.00,TE67
John Bates,WAS,TE,367.33,TE68
Nick Nash,ATL,WR,358.00,WR161
Tyrod Taylor,NYJ,QB,378.00,QB52
Harrison Bryant,PHI,TE,378.25,TE69
Dare Ogunbowale,HOU,RB,361.00,RB134
Derius Davis,LAC,WR,362.00,WR162
Kyle Trask,TB,QB,377.67,QB53
Lan Larison,NE,RB,373.00,RB135
Joshua Dobbs,NE,QB,374.00,QB54
Johnny Mundt,JAC,TE,378.50,TE70
Luke Farrell,SF,TE,380.00,TE71
Adam Trautman,DEN,TE,389.50,TE72
